year,format,top_adjEM_team,top_adjEM_seed,top_adjEM_win_pct,top_trank_team,top_trank_seed,top_trank_win_pct,top_seed_team,top_seed_adjEM,top_seed_win_pct,model_pick_team,model_pick_seed,model_pick_win_pct,actual_champion,actual_champion_seed,actual_champion_adjEM,actual_champion_trank,actual_sim_win_pct,model_correct
2015,10-team double bye,Wichita St.,1,54.36,Wichita St.,1,54.36,Wichita St.,22.4,54.36,Wichita St.,1,54.36,northern iowa,2,22.2,17.0,43.16,0
2015,8-team no byes,Wichita St.,1,45.35,Wichita St.,1,45.35,Wichita St.,22.4,45.35,Northern Iowa,2,51.76,northern iowa,2,22.2,17.0,51.76,1
2015,10-team 6 single byes,Wichita St.,1,45.07,Wichita St.,1,45.07,Wichita St.,22.4,45.07,Northern Iowa,2,51.87,northern iowa,2,22.2,17.0,51.87,1
2015,10-team 6 byes reseeded,Wichita St.,1,48.96,Wichita St.,1,48.96,Wichita St.,22.4,48.96,Wichita St.,1,48.96,northern iowa,2,22.2,17.0,47.91,0
2016,10-team double bye,Wichita St.,1,78.01,Wichita St.,1,78.01,Wichita St.,22.1,78.01,Wichita St.,1,78.01,northern iowa,4,13.1,56.0,12.97,0
2016,8-team no byes,Wichita St.,1,70.08,Wichita St.,1,70.08,Wichita St.,22.1,70.08,Wichita St.,1,70.08,northern iowa,4,13.1,56.0,13.77,0
2016,10-team 6 single byes,Wichita St.,1,70.72,Wichita St.,1,70.72,Wichita St.,22.1,70.72,Wichita St.,1,70.72,northern iowa,4,13.1,56.0,12.52,0
2016,10-team 6 byes reseeded,Wichita St.,1,73.18,Wichita St.,1,73.18,Wichita St.,22.1,73.18,Wichita St.,1,73.18,northern iowa,4,13.1,56.0,12.62,0
2017,10-team double bye,Wichita St.,2,78.25,Wichita St.,2,78.25,Illinois St.,15.2,20.19,Wichita St.,2,78.25,wichita state,2,24.9,12.0,78.25,1
2017,8-team no byes,Wichita St.,2,81.68,Wichita St.,2,81.68,Illinois St.,15.2,15.28,Wichita St.,2,81.68,wichita state,2,24.9,12.0,81.68,1
2017,10-team 6 single byes,Wichita St.,2,80.63,Wichita St.,2,80.63,Illinois St.,15.2,16.4,Wichita St.,2,80.63,wichita state,2,24.9,12.0,80.63,1
2017,10-team 6 byes reseeded,Wichita St.,2,80.62,Wichita St.,2,80.62,Illinois St.,15.2,16.24,Wichita St.,2,80.62,wichita state,2,24.9,12.0,80.62,1
2018,10-team double bye,Loyola Chicago,1,72.21,Loyola Chicago,1,72.21,Loyola Chicago,15.1,72.21,Loyola Chicago,1,72.21,loyola chicago,1,15.1,41.0,72.21,1
2018,8-team no byes,Loyola Chicago,1,62.54,Loyola Chicago,1,62.54,Loyola Chicago,15.1,62.54,Loyola Chicago,1,62.54,loyola chicago,1,15.1,41.0,62.54,1
2018,10-team 6 single byes,Loyola Chicago,1,57.93,Loyola Chicago,1,57.93,Loyola Chicago,15.1,57.93,Loyola Chicago,1,57.93,loyola chicago,1,15.1,41.0,57.93,1
