year,format,team,seed,trank,adj_em,adj_t,win_count,win_pct,actual_champion
2015,10-team double bye,Wichita St.,1,14.0,22.4,62.0,5362,53.62,0
2015,10-team double bye,Northern Iowa,2,17.0,22.2,57.8,4374,43.74,1
2015,10-team double bye,Indiana St.,3,170.0,-0.2,66.7,1,0.01,0
2015,10-team double bye,Illinois St.,4,61.0,11.6,64.8,241,2.41,0
2015,10-team double bye,Evansville,5,115.0,4.6,65.8,6,0.06,0
2015,10-team double bye,Loyola Chicago,6,135.0,2.7,60.7,16,0.16,0
2015,10-team double bye,Drake,7,249.0,-7.2,58.8,0,0.0,0
2015,10-team double bye,Missouri St.,8,270.0,-8.1,61.2,0,0.0,0
2015,10-team double bye,Southern Illinois,9,192.0,-2.5,62.2,0,0.0,0
2015,10-team double bye,Bradley,10,245.0,-6.3,61.8,0,0.0,0
2015,8-team no byes,Wichita St.,1,14.0,22.4,62.0,4516,45.16,0
2015,8-team no byes,Northern Iowa,2,17.0,22.2,57.8,5165,51.65,1
2015,8-team no byes,Indiana St.,3,170.0,-0.2,66.7,4,0.04,0
2015,8-team no byes,Illinois St.,4,61.0,11.6,64.8,277,2.77,0
2015,8-team no byes,Evansville,5,115.0,4.6,65.8,17,0.17,0
2015,8-team no byes,Loyola Chicago,6,135.0,2.7,60.7,21,0.21,0
2015,8-team no byes,Drake,7,249.0,-7.2,58.8,0,0.0,0
2015,8-team no byes,Missouri St.,8,270.0,-8.1,61.2,0,0.0,0
2015,8-team no byes,Southern Illinois,9,192.0,-2.5,62.2,0,0.0,0
2015,8-team no byes,Bradley,10,245.0,-6.3,61.8,0,0.0,0
2015,10-team 6 single byes,Wichita St.,1,14.0,22.4,62.0,4402,44.02,0
2015,10-team 6 single byes,Northern Iowa,2,17.0,22.2,57.8,5284,52.84,1
2015,10-team 6 single byes,Indiana St.,3,170.0,-0.2,66.7,5,0.05,0
2015,10-team 6 single byes,Illinois St.,4,61.0,11.6,64.8,268,2.68,0
2015,10-team 6 single byes,Evansville,5,115.0,4.6,65.8,20,0.2,0
2015,10-team 6 single byes,Loyola Chicago,6,135.0,2.7,60.7,20,0.2,0
2015,10-team 6 single byes,Drake,7,249.0,-7.2,58.8,0,0.0,0
2015,10-team 6 single byes,Missouri St.,8,270.0,-8.1,61.2,0,0.0,0
2015,10-team 6 single byes,Southern Illinois,9,192.0,-2.5,62.2,0,0.0,0
2015,10-team 6 single byes,Bradley,10,245.0,-6.3,61.8,1,0.01,0
2016,10-team double bye,Wichita St.,1,10.0,22.1,65.9,7795,77.95,0
2016,10-team double bye,Evansville,2,77.0,9.4,68.6,723,7.23,0
2016,10-team double bye,Illinois St.,3,115.0,5.0,67.4,147,1.47,0
2016,10-team double bye,Northern Iowa,4,56.0,13.1,62.8,1301,13.01,1
2016,10-team double bye,Southern Illinois,5,139.0,2.4,69.6,19,0.19,0
2016,10-team double bye,Indiana St.,6,186.0,-2.0,70.3,11,0.11,0
2016,10-team double bye,Missouri St.,7,219.0,-4.9,68.9,0,0.0,0
2016,10-team double bye,Loyola Chicago,8,179.0,-1.2,64.8,4,0.04,0
2016,10-team double bye,Bradley,9,328.0,-15.0,67.2,0,0.0,0
2016,10-team double bye,Drake,10,260.0,-8.8,65.4,0,0.0,0
2016,8-team no byes,Wichita St.,1,10.0,22.1,65.9,7025,70.25,0
2016,8-team no byes,Evansville,2,77.0,9.4,68.6,1195,11.95,0
2016,8-team no byes,Illinois St.,3,115.0,5.0,67.4,330,3.3,0
2016,8-team no byes,Northern Iowa,4,56.0,13.1,62.8,1366,13.66,1
2016,8-team no byes,Southern Illinois,5,139.0,2.4,69.6,41,0.41,0
2016,8-team no byes,Indiana St.,6,186.0,-2.0,70.3,25,0.25,0
2016,8-team no byes,Missouri St.,7,219.0,-4.9,68.9,10,0.1,0
2016,8-team no byes,Loyola Chicago,8,179.0,-1.2,64.8,8,0.08,0
2016,8-team no byes,Bradley,9,328.0,-15.0,67.2,0,0.0,0
2016,8-team no byes,Drake,10,260.0,-8.8,65.4,0,0.0,0
2016,10-team 6 single byes,Wichita St.,1,10.0,22.1,65.9,7088,70.88,0
2016,10-team 6 single byes,Evansville,2,77.0,9.4,68.6,1206,12.06,0
2016,10-team 6 single byes,Illinois St.,3,115.0,5.0,67.4,312,3.12,0
2016,10-team 6 single byes,Northern Iowa,4,56.0,13.1,62.8,1315,13.15,1
2016,10-team 6 single byes,Southern Illinois,5,139.0,2.4,69.6,31,0.31,0
2016,10-team 6 single byes,Indiana St.,6,186.0,-2.0,70.3,33,0.33,0
2016,10-team 6 single byes,Missouri St.,7,219.0,-4.9,68.9,6,0.06,0
2016,10-team 6 single byes,Loyola Chicago,8,179.0,-1.2,64.8,8,0.08,0
2016,10-team 6 single byes,Bradley,9,328.0,-15.0,67.2,0,0.0,0
2016,10-team 6 single byes,Drake,10,260.0,-8.8,65.4,1,0.01,0
2017,10-team double bye,Illinois St.,1,40.0,15.2,64.8,1945,19.45,0
2017,10-team double bye,Wichita St.,2,12.0,24.9,68.6,7896,78.96,1
2017,10-team double bye,Northern Iowa,3,181.0,-1.1,63.4,6,0.06,0
2017,10-team double bye,Southern Illinois,4,179.0,-1.1,65.4,4,0.04,0
2017,10-team double bye,Loyola Chicago,5,97.0,6.4,65.7,61,0.61,0
2017,10-team double bye,Missouri St.,6,116.0,4.2,66.0,66,0.66,0
