year,trank,team,conf,games,record,adj_oe,adj_de,adj_em,barthag,efg_pct,efg_d_pct,tor,tord,orb,drb,ftr,ftrd,two_p_pct,two_p_d_pct,three_p_pct,three_p_d_pct,three_pr,three_prd,adj_t,wab,seed,ncaa_result
2015,14.0,Wichita St.,MVC,34.0,29-5,116.1,93.7,22.4,0.9215,50.3,45.8,15.0,21.3,34.5,27.4,36.2,36.6,48.9,42.6,35.4,35.3,34.7,30.4,62.0,4.4,7,Sweet Sixteen
2015,17.0,Northern Iowa,MVC,35.0,31-4,117.3,95.1,22.2,0.9174,55.9,45.6,17.8,19.2,27.0,26.9,39.8,27.0,53.3,44.0,39.8,32.1,39.9,37.9,57.8,5.6,5,
2015,61.0,Illinois St.,MVC,34.0,21-13,108.1,96.5,11.6,0.7871,48.4,47.0,19.9,20.5,36.2,29.3,34.8,40.3,46.8,45.9,34.4,32.8,31.7,33.6,64.8,-2.6,,
2015,115.0,Evansville,MVC,35.0,23-12,106.2,101.6,4.6,0.624,52.1,49.4,19.3,19.9,25.8,28.0,44.3,31.4,51.8,47.5,35.4,35.5,23.9,34.2,65.8,-4.5,,
2015,135.0,Loyola Chicago,MVC,35.0,22-13,105.9,103.2,2.7,0.5739,53.3,49.2,21.0,20.2,28.7,32.1,33.3,30.2,50.6,50.1,39.3,31.8,32.8,37.2,60.7,-4.5,,
2015,170.0,Indiana St.,MVC,30.0,14-16,102.1,102.3,-0.2,0.4924,49.4,48.6,20.9,20.8,26.4,31.7,42.3,37.6,46.6,44.7,35.7,38.6,39.9,29.8,66.7,-8.1,,
2015,192.0,Southern Illinois,MVC,32.0,11-21,99.9,102.4,-2.5,0.4289,45.7,51.4,20.8,21.3,31.4,26.2,41.0,40.8,44.3,48.2,33.3,38.1,25.9,35.8,62.2,-13.0,,
2015,245.0,Bradley,MVC,32.0,8-24,93.7,100.0,-6.3,0.3228,42.3,50.3,20.4,21.9,32.0,29.0,37.8,46.2,40.7,47.2,30.1,36.9,35.5,37.7,61.8,-15.0,,
2015,249.0,Drake,MVC,30.0,8-22,105.7,112.9,-7.2,0.3185,52.1,54.9,22.3,16.9,23.3,32.0,34.0,30.5,47.4,53.2,40.6,38.5,35.2,35.9,58.8,-13.1,,
2015,270.0,Missouri St.,MVC,29.0,9-20,98.4,106.5,-8.1,0.2886,45.4,49.6,19.5,16.4,29.7,30.0,31.7,36.8,44.5,46.6,31.4,36.9,31.9,33.9,61.2,-12.0,,
2016,10.0,Wichita St.,MVC,34.0,25-9,111.1,89.0,22.1,0.9277,48.9,44.7,14.7,23.2,31.7,23.6,37.4,45.4,49.2,42.1,32.3,32.7,38.1,37.0,65.9,0.28,11,
2016,56.0,Northern Iowa,MVC,35.0,22-13,110.7,97.6,13.1,0.8088,53.2,48.7,15.2,18.5,17.7,27.4,34.1,24.8,51.3,48.9,37.2,32.4,42.7,39.1,62.8,-2.0,11,
2016,77.0,Evansville,MVC,33.0,24-9,107.2,97.8,9.4,0.7423,53.4,45.9,18.2,18.4,24.5,25.0,46.9,29.4,53.2,44.4,35.9,32.6,25.2,32.0,68.6,-1.3,,
